CÓDIGO ATUAL,NOME ATUAL,NOME NOVO,PROPOSTA DO DÓRIA
1782-10,VL. NOVA GALVÃO – METRÔ SANTANA,VILA NOVA GALVÃO – CONEXÃO JAÇANÃ,CORTADA
1783-10,CACHOEIRA – METRÔ SANTANA,CACHOEIRA – CONEXÃO TREMEMBÉ,CORTADA
1783-22,JD. LABITARY – METRÔ SANTANA,,EXTINTA
1783-41,JD. LABITARY – METRÔ PARADA INGLESA,JD. LABITARY – METRÔ PARADA INGLESA,MANTIDA
1785-10,VL. AURORA – METRÔ SANTANA,VL. AURORA – METRÔ SANTANA,MANTIDA
1786-10,VL. ALBERTINA – METRÔ SANTANA,VL. ALBERTINA – METRÔ SANTANA,MANTIDA
1787-10,VL. MARIETA – METRÔ SANTANA,VL. MARIETA – METRÔ TUCURUVI,CORTADA
1788- 10,JAÇANÃ – METRÔ SANTANA,CONEXÃO TREMEMBÉ – METRÔ SANTANA,CORTADA
1788- 10,JAÇANÃ – METRÔ SANTANA,CONEXÃO JAÇANÃ – MANDAQUI (VIA CONEXÃO TREMEMBÉ),CORTADA
1788-10,JD. FONTÁLIS – METRÔ SANTANA,JD. FONTÁLIS – METRÔ SANTANA,MANTIDA
1788-51,JD. CAMPO LIMPO – METRÔ SANTANA,JD. CAMPO LIMPO – METRÔ SANTANA,MANTIDA
178A-10,METRÔ SANTANA – LAPA,METRÔ SANTANA – METRÔ BARRA FUNDA,CORTADA
178L-10,LAUZANE PAULISTA – HOSP. DAS CLÍNICAS,METRÔ SANTANA – METRÔ VL. MADALENA,CORTADA
178T-10,METRÔ SANTANA – CEASA,METRÔ SANTANA – LAPA,CORTADA
178Y-10,VL. AMÉLIA – METRÔ JD. SÃO PAULO,VL. AMÉLIA – METRÔ JD. SÃO PAULO,MANTIDA
178Y-21,CONJ. DOS BANCÁRIOS – METRÔ JD. SÃO PAULO,CONJ. DOS BANCÁRIOS – METRÔ JD. SÃO PAULO,MANTIDA
179X-10,JD. FONTÁLIS – METRÔ BARRA FUNDA,,EXTINTA
189L-10,CONEXÃO VL. IÓRIO – LAPA,,EXTINTA
199D-10,CONEXÃO VL. IÓRIO – TERM. PINHEIROS,CONEXÃO VL. IÓRIO – TERM. PINHEIROS,MANTIDA
2002-10,TERM. PQ. D. PEDRO II – TERM. BANDEIRA,TERM. PQ. D. PEDRO II – TERM. BANDEIRA,MANTIDA
2004-10,JD. NSA. SRA. DO CAMINHO – CPTM GUAIANAZES,JD. NSA. SRA. DO CAMINHO – CPTM GUAIANAZES,MANTIDA
2005-10,JD. ROMANO – SÃO MIGUEL,JD. ROMANO – SÃO MIGUEL,MANTIDA
2006-10,CID. KEMEL I – CPTM ITAIM PAULISTA,CID. KEMEL I – CPTM ITAIM PAULISTA,MANTIDA
2007-10,CID. KEMEL II – CPTM ITAIM PAULISTA,CID. KEMEL II – CPTM ITAIM PAULISTA,MANTIDA
2008-10,JD. NSA. SRA. DO CAMINHO – CPTM ITAIM PAULISTA,JD. NSA. SRA. DO CAMINHO – CPTM ITAIM PAULISTA,MANTIDA
2009-10,JD. ROBRU – CPTM GUAIANAZES,JD. ROBRU – CPTM GUAIANAZES,MANTIDA
2010-10,JD. BRASIL – SHOP. D,JD. BRASIL – SHOP. D,MANTIDA
2010-21,JD. BRASIL – METRÔ SANTANA,,EXTINTA
2011-10,EDÚ CHAVES – METRÔ SANTANA,EDÚ CHAVES – METRÔ SANTANA,MANTIDA
2012-10,VL. EDE – METRÔ TIETÊ,VILA EDE – SHOP. D,CORTADA
2013-10,COHAB ANTÁRTICA – CACHOEIRINHA,COHAB ANTÁRTICA – CACHOEIRINHA,MANTIDA
2014-10,JD. PERY ALTO – METRÔ BARRA FUNDA,JD. PERY ALTO -TERM. CASA VERDE,CORTADA
