CÓDIGO ATUAL,NOME ATUAL,NOME NOVO,PROPOSTA DO DÓRIA
4286-10,VL. INDUSTRIAL – VL. PRUDENTE,VL. INDUSTRIAL – VL. PRUDENTE,MANTIDA
4288-10,PQ. STA. MADALENA – TERM. PQ. D. PEDRO II,PQ. STA. MADALENA – TERM. VL. PRUDENTE,CORTADA
4310-10,E.T. ITAQUERA – TERM. PQ. D. PEDRO II,METRÔ ITAQUERA – PÇA. DO CORREIO (via Av. Tiquatira),CORTADA
4310-21,ARTUR ALVIM – TERM. PQ. D. PEDRO II,ARTUR ALVIM – TERM. PQ. D. PEDRO II,MANTIDA
4311-10,TERM. SÃO MATEUS – TERM. PQ. D. PEDRO II,TERM. SÃO MATEUS – TERM. PQ. D. PEDRO II,MANTIDA
4312-10,JD. MARÍLIA – TERM. PQ. D. PEDRO II,JD. MARÍLIA – METRÔ BRESSER,CORTADA
4313-10,TERM. CID. TIRADENTES – TERM. PQ. D. PEDRO II,TERM. CID. TIRADENTES – TERM. PQ. D. PEDRO II,MANTIDA
4314-10,INÁCIO MONTEIRO – TERM. PQ. D. PEDRO II,INÁCIO MONTEIRO – TERM. PQ. D. PEDRO II,MANTIDA
4315-10,TERM. VL. CARRÃO – TERM. PQ. D. PEDRO II,TERM. VL. CARRÃO – TERM. PQ. D. PEDRO II,MANTIDA
4491-10,ZOOLÓGICO – TERM. PQ. D. PEDRO II,ZOOLÓGICO – TERM. PQ. D. PEDRO II,MANTIDA
4706-10,JD. MARIA ESTELA II – METRÔ VL. MARIANA,JD. MARIA ESTELA II – METRÔ VL. MARIANA,MANTIDA
4708-10,JD. CLÍMAX – METRÔ VL. MARIANA,JD. CLÍMAX – METRÔ VL. MARIANA,MANTIDA
4709-10,JD. SÃO SAVÉRIO – METRÔ VL. MARIANA,JD. SÃO SAVÉRIO – METRÔ VL. MARIANA,MANTIDA
4716-10,SACOMÃ – METRÔ STA. CRUZ,SACOMÃ – METRÔ STA. CRUZ,MANTIDA
4717-10,JD. MARIA ESTELA – METRÔ SAÚDE,JD. MARIA ESTELA – METRÔ SAÚDE,MANTIDA
4718-10,JD. CELESTE – METRÔ STA. CRUZ,JD. CELESTE – METRÔ STA. CRUZ,MANTIDA
4721-10,SHOP. PLAZA SUL – METRÔ JABAQUARA,SHOP. PLAZA SUL – METRÔ PÇA. DA ÁRVORE,CORTADA
4724-10,METRÔ PATRIARCA – VL. NHOCUNÉ,METRÔ PATRIARCA – VL. NHOCUNÉ,MANTIDA
4725-10,VL. BRASILINA – SHOP. IBIRAPUERA,VL. BRASILINA – METRÔ PÇA. DA ÁRVORE,CORTADA
4725-10,VL. BRASILINA – SHOP. IBIRAPUERA,METRÔ PÇA. DA ÁRVORE – SHOP IBIRAPUERA,CORTADA
4726-10,MOOCA – METRÔ TATUAPÉ,MOOCA – METRÔ TATUAPÉ,MANTIDA
4726-31,MOOCA – METRÔ TATUAPÉ,MOOCA – METRÔ TATUAPÉ,MANTIDA
4727-10,JD. CLÍMAX – METRÔ PÇA. DA ÁRVORE,JD. CLÍMAX – METRÔ PÇA. DA ÁRVORE,MANTIDA
4729-10,PQ. BANCÁRIO – METRÔ BELÉM,PQ. BANCÁRIO – METRÔ BELÉM,MANTIDA
4732-10,VL. LIVIERO – METRÔ SAÚDE,VL. LIVIERO – METRÔ SAÚDE,MANTIDA
4732-31,VL. LIVIERO – METRÔ SAÚDE,VL. LIVIERO – METRÔ SAÚDE,MANTIDA
4734-10,VL. MORAES – METRÔ SAÚDE,VL. MORAES – METRÔ SAÚDE,MANTIDA
4734-21,VL. MORAES – METRÔ SAÚDE,,EXTINTA
4735-10,JD. VERA CRUZ  – METRÔ CARRÃO,1,EXTINTA
4742-10,JD. CLÍMAX – METRÔ SÃO JUDAS,JD. CLÍMAX – METRÔ SÃO JUDAS,MANTIDA
475M-10,JD. DA SAÚDE – TERM. AMARAL GURGEL,METRÔ VL. MARIANA – TERM. AMARAL GURGEL,CORTADA
475R-10,JD. SÃO SAVÉRIO – TERM. PQ. D. PEDRO II,JD. SÃO SAVÉRIO – PQ. DO IBIRAPUERA,CORTADA
475R-21,JD. SÃO SAVÉRIO – METRÔ SAÚDE,1,EXTINTA
476A-10,IPIRANGA – TERM. STO. AMARO,1,EXTINTA
476G-10,JD. ELBA – IBIRAPUERA,TERM. SAPOPEMBA – TERM. VL. PRUDENTE,CORTADA
476G-41,VL. INDUSTRIAL – METRÔ ANA ROSA,1,EXTINTA
476L-10,METRÔ VL. MARIANA – LAR ESC. SÃO FRANCISCO,METRÔ VL. MARIANA – LAR ESC. SÃO FRANCISCO,MANTIDA
477A-10,SACOMÃ – TERM. PINHEIROS,METRÔ TAMANDUATEÍ – TERM. PINHEIROS,CORTADA
477P-10,IPIRANGA – RIO PEQUENO,1,EXTINTA
477U-10,HELIÓPOLIS – METRÔ VL. MARIANA,HELIÓPOLIS – METRÔ VL. MARIANA,MANTIDA
478P-10,SACOMÃ – POMPÉIA ATÉ VL. ROMANA,SACOMÃ – METRÔ VL. MARIANA,CORTADA
5010-10,JABAQUARA – STO. AMARO,JD. LOURDES – METRÔ JABAQUARA,CORTADA
5011-10,ELDORADO – STO. AMARO,ELDORADO – PÇA. DO ACURI,CORTADA
5012-10,VL. GUACURI – JABAQUARA,VL. GUACURI – JABAQUARA,MANTIDA
5013-10,JD. LUSO – STO. AMARO,JD. LUSO – STO. AMARO,MANTIDA
5013-31,JD. MIRIAM – STO. AMARO,TERM. STO. AMARO – JD. CAMPININHA,CORTADA
5015-10,JD. SÃO JORGE – METRÔ JABAQUARA,PÇA. DO ACURI – METRÔ JABAQUARA,CORTADA
5018-10,SHOP. INTERLAGOS – JABAQUARA,SHOP. INTERLAGOS – JABAQUARA,MANTIDA
5018-31,SHOP. INTERLAGOS – JABAQUARA,SHOP. INTERLAGOS – JABAQUARA,MANTIDA
5020-10,HOSP. HELIÓPOLIS – TERM. SACOMÃ,HOSP. HELIÓPOLIS – TERM. SACOMÃ,MANTIDA
5021-10,ÁGUA FUNDA – TERM. SACOMÃ,ÁGUA FUNDA – TERM. SACOMÃ,MANTIDA
5022-10,VL. STA. MARGARIDA – JABAQUARA,VL. STA. MARGARIDA – JABAQUARA,MANTIDA
5024-10,MISSIONÁRIA – STO. AMARO,MISSIONÁRIA – TERM. STO. AMARO,MANTIDA
5024-31,MISSIONÁRIA – STO. AMARO,MISSIONÁRIA – STO. AMARO,MANTIDA
5025-10,JD. GUAIRACÁ – METRÔ TAMANDUATEÍ,JD. GUAIRACÁ – METRÔ TAMANDUATEÍ,MANTIDA
5026-10,CONJ. TEOTÔNIO VILELA – JD. SÃO ROBERTO,CONJ. TEOTÔNIO VILELA – TERM. SAPOPEMBA,CORTADA
5026-10,CONJ. TEOTÔNIO VILELA – JD. SÃO ROBERTO,JD. SÃO ROBERTO – TERM. SAPOPEMBA,CORTADA
5028-10,CONJ. HAB. HELIÓPOLIS – MUSEU DO IPIRANGA,CONJ. HAB. HELIÓPOLIS – METRO ALTO IPIRANGA IPIRANGA,MANTIDA
5029-10,JD. PATENTE – TERM. SACOMÃ,JD. PATENTE – TERM. SACOMÃ,MANTIDA
502J-10,CPTM AUTÓDROMO – METRÔ STA. CRUZ,CPTM AUTÓDROMO – METRÔ STA. CRUZ,MANTIDA
502J-22,CPTM AUTÓDROMO – VL. JOANIZA,1,EXTINTA
5030-10,JD. MARIA ESTELA – TERM. SACOMÃ,JD. MARIA ESTELA – TERM. SACOMÃ,MANTIDA
5031-10,VL. ARAPUÁ – TERM. SACOMÃ,VL. ARAPUÁ – TERM. SACOMÃ,MANTIDA
5031-21,VL. CDE. DO PINHAL – TERM. SACOMÃ,VL. CDE. DO PINHAL – TERM. SACOMÃ,MANTIDA
5032-10,VL. ARAPUÁ – TERM. SACOMÃ,VL. ARAPUÁ – TERM. SACOMÃ,MANTIDA
5033-10,VL. BRASILINA – TERM. SACOMÃ,VL. BRASILINA – TERM. SACOMÃ,MANTIDA
5034-10,VL. LIVIERO – TERM. SACOMÃ,VL. LIVIERO – TERM. SACOMÃ,MANTIDA
5034-31,TERM. SACOMÃ – VL. LIVIERO,TERM. SACOMÃ – VL. LIVIERO,MANTIDA
5035-10,VL. ARAPUÁ – TERM. SACOMÃ,VL. ARAPUÁ – TERM. SACOMÃ,MANTIDA
5036-10,JD. CELESTE – TERM. SACOMÃ,JD. CELESTE – TERM. SACOMÃ,MANTIDA
5038-10,PQ. BRISTOL – TERM. SACOMÃ,PQ. BRISTOL – TERM. SACOMÃ,MANTIDA
507T-10,TERM. SAPOPEMBA – METRÔ CARRÃO,TERM. SAPOPEMBA – METRÔ CARRÃO,MANTIDA
508L-10,TERM. PRINC. ISABEL – ACLIMAÇÃO,TERM. PRINC. ISABEL – ACLIMAÇÃO,MANTIDA
5091-10,JD. UBIRAJARA – METRÔ SÃO JUDAS,JD. UBIRAJARA – METRÔ SÃO JUDAS,MANTIDA
509J-10,JD. SELMA – PQ. IBIRAPUERA,JD. SELMA – PQ. IBIRAPUERA,MANTIDA
509M-10,JD. MIRIAM – TERM. PRINC. ISABEL,JD. MIRIAM – TERM. PRINC. ISABEL,MANTIDA
5100-10,TERM. PINHEIROS – TERM. PQ. D. PEDRO II,1,EXTINTA
5103-10,TERM. SACOMÃ – MOEMA,1,EXTINTA
5103-21,TERM. SACOMÃ – METRÔ STA. CRUZ,1,EXTINTA
5105-10,TERM. SACOMÃ – TERM. MERCADO,TERM. SACOMÃ – TERM. MERCADO,MANTIDA
5106-10,JD. SELMA – LGO. SÃO FRANCISCO,JD. SELMA – LGO. SÃO FRANCISCO,MANTIDA
5106-21,JD. SELMA – SHOP. IBIRAPUERA,1,EXTINTA
5106-31,JD. SELMA – METRÔ ANA ROSA,METRÔ CONCEIÇÃO – METRÔ ANA ROSA,CORTADA
5107-10,TERM. SACOMÃ – PÇA. DO CORREIO,TERM. SACOMÃ – PÇA. DO CORREIO,MANTIDA
5108-10,JD. CELESTE – TERM. PQ. D. PEDRO II,JD. CELESTE – TERM. PQ. D. PEDRO II,MANTIDA
5109-10,TERM. VL. PRUDENTE – TERM. MERCADO,TERM. VL. PRUDENTE – TERM. MERCADO,MANTIDA
5110-10,TERM. SÃO MATEUS – TERM. MERCADO,TERM. SÃO MATEUS – TERM. MERCADO,MANTIDA
5110-21,SÃO MATEUS – TERM. MERCADO,SÃO MATEUS – TERM. MERCADO,MANTIDA
5110-22,FAZENDA DA JUTA – TERM. MERCADO,FAZENDA DA JUTA – TERM. MERCADO,MANTIDA
5110-23,JD. PLANALTO – TERM. MERCADO,JD. PLANALTO – TERM. MERCADO,MANTIDA
5110-24,SÃO MATEUS – METRÔ VL. PRUDENTE,1,EXTINTA
5110-41,SÃO MATEUS – METRÔ TAMANDUATEÍ,TERM. SAPOPEMBA- METRÔ TAMANDUATEÍ,CORTADA
5111-10,TERM. STO. AMARO – TERM. PQ. D. PEDRO II,TERM. STO. AMARO – TERM. PQ. D. PEDRO II,MANTIDA
5119-10,TERM. CAPELINHA – LGO. SÃO FRANCISCO,TERM. CAPELINHA – LGO. SÃO FRANCISCO,MANTIDA
5119-22,TERM. JOÃO DIAS – LGO. SÃO FRANCISCO,TERM. JOÃO DIAS – LGO. SÃO FRANCISCO,MANTIDA
5119-23,TERM. JOÃO DIAS – INSTITUTO LUCY MONTORO,TERM. JOÃO DIAS – INSTITUTO LUCY MONTORO,MANTIDA
5123-10,JD. MIRIAM – HOSP. SÃO PAULO,JD. MIRIAM – METRÔ JABAQUARA,CORTADA
5127-10,VL. GUACURI – CPTM JURUBATUBA,VL. GUACURI – CPTM JURUBATUBA,MANTIDA
5128-10,JD. APURÁ – METRÔ CONCEIÇÃO,JD. APURÁ – METRÔ JABAQUARA,CORTADA
5129-10,JD. MIRIAM – TERM. GUARAPIRANGA,JD. MIRIAM – TERM. GUARAPIRANGA,MANTIDA
5129-41,JD. MIRIAM – STO. AMARO,1,EXTINTA
5131-10,CID. ADEMAR – PQ. D. PEDRO II,CID. ADEMAR – PQ. D. PEDRO II,MANTIDA
513L-10,TERM. SACOMÃ – PQ. BELÉM,TERM. SACOMÃ – PQ. BELÉM,MANTIDA
5141-10,"TERM. SAPOPEMBA
– PÇA. DO CORREIO",1,EXTINTA
5142-10,TERM. SAPOPEMBA – TERM. PQ. D. PEDRO II,TERM. SAPOPEMBA – TERM. VL. PRUDENTE,CORTADA
5143-10,TERM. SAPOPEMBA – TERM. PQ. D. PEDRO II,TERM. SAPOPEMBA – TERM. PQ. D. PEDRO II,MANTIDA
5143-31,TERM. SAPOPEMBA – TERM. PQ. D. PEDRO II,1,EXTINTA
5144-10,TERM. SAPOPEMBA – TERM. PRINC. ISABEL,TERM. SAPOPEMBA – TERM. PRINC. ISABEL,MANTIDA
5145-10,TERM. SAPOPEMBA – PÇA. ALMEIDA JR.,1,EXTINTA
5145-41,CONJ. TEOTÔNIO VILELA – PÇA. ALMEIDA JR.,1,EXTINTA
514T-10,TERM. SACOMÃ – JD. ITÁPOLIS,1,EXTINTA
514T-21,JD. COLORADO – METRÔ VL. PRUDENTE,1,EXTINTA
5154-10,TERM. STO. AMARO – TERM. PRINC. ISABEL,TERM. STO. AMARO – TERM. PRINC. ISABEL,MANTIDA
5164-10,VL. STA. CATARINA – PQ. IBIRAPUERA,VL. STA. CATARINA – PQ. IBIRAPUERA,MANTIDA
5164-21,CID. LEONOR – PQ. IBIRAPUERA,CID. LEONOR – METRÔ CONCEIÇÃO,MANTIDA
5164-41,VL. GUARANI – METRÔ CONCEIÇÃO,VL. GUARANI – METRÔ CONCEIÇÃO,MANTIDA
516N-10,JD. MIRIAM – PÇA. D. GASTÃO,JD. MIRIAM – PÇA. D. GASTÃO,MANTIDA
5175-10,BALN. SÃO FRANCISCO – PÇA. DA SÉ,JD. APURÁ – PÇA. DA SÉ,CORTADA
5178-10,JD. MIRIAM – PÇA. JOÃO MENDES,1,EXTINTA
517J-10,JD. SELMA – E.T. ÁGUA ESPRAIADA,JD. SELMA – E.T. ÁGUA ESPRAIADA,MANTIDA
5185-10,TERM. GUARAPIRANGA – TERM. PQ. D. PEDRO II,TERM. GUARAPIRANGA – TERM. PQ. D. PEDRO II,MANTIDA
5194-10,JD. APURÁ – PQ. IBIRAPUERA,1,EXTINTA
519M-10,SÃO MATEUS – MUSEU DO IPIRANGA,SÃO MATEUS – METRÔ TAMANDUATEI,CORTADA
524L-10,PQ. SÃO LUCAS – METRÔ TATUAPÉ,PQ. SÃO LUCAS – METRÔ TATUAPÉ,MANTIDA
524M-10,MASCARENHAS DE MORAIS – SHOP. ARICANDUVA,MASCARENHAS DE MORAIS – SHOP. ARICANDUVA,MANTIDA
527R-10,"VL. IMPÉRIO – TERM. STO.
AMARO",VL. IMPÉRIO – SHOP. INTERLAGOS,CORTADA
5290-10,DIV. DIADEMA – PÇA. JOÃO MENDES,DIV. DIADEMA – TERM. PQ. D. PEDRO II,CORTADA
5300-10,TERM. STO. AMARO – TERM. PQ. D. PEDRO II,TERM. STO. AMARO – TERM. PQ. D. PEDRO II,MANTIDA
5317-10,SESC/ORION – PÇA. DO CORREIO,SESC/ORION – TERM. STO. AMARO,MANTIDA
5318-10,CHÁC. SANTANA – PÇA. DA SÉ,CHÁC. SANTANA – PÇA. DA SÉ,MANTIDA
5318-21,PIRAPORINHA – PÇA. DA SÉ,1,EXTINTA
5318-22,PÇA. DA SÉ – CHÁC. STO. ANTONIO,1,EXTINTA
5362-10,PQ. RES. COCAIA – PÇA. DA SÉ,PQ. RES. COCAIA – PÇA. DA SÉ,MANTIDA
5362-21,GRAJAÚ – PÇA. DA SÉ,GRAJAÚ (RES. FARIA LIMA) – TERM. GRAJAÚ,CORTADA
5362-22,JD. ELIANA – PÇA. DA SÉ,1,EXTINTA
5362-23,PQ. RES. COCAIA – VICENTE RAO,1,EXTINTA
5370-10,TERM. VARGINHA – LGO. SÃO FRANCISCO,TERM. VARGINHA – LGO. SÃO FRANCISCO,MANTIDA
5370-21,TERM. VARGINHA – PQ. IBIRAPUERA,TERM. VARGINHA – PQ. IBIRAPUERA,MANTIDA
5391-10,JD. ÂNGELA – LGO. SÃO FRANCISCO,JD. ÂNGELA – LGO. SÃO FRANCISCO,MANTIDA
5391-21,TERM. GUARAPIRANGA – LGO. SÃO FRANCISCO,1,EXTINTA
5391-22,MOEMA – JD. ÂNGELA,1,EXTINTA
546A-10,JD. APURÁ – STO. AMARO,1,EXTINTA
546A-31,JD. APURÁ – STO. AMARO,JD. APURÁ – STO. AMARO,MANTIDA
546J-10,JD. SELMA – STO. AMARO,1,EXTINTA
546J-31,JD. SELMA – STO. AMARO,JD. SELMA – TERM. STO. AMARO,CORTADA
546L-10,JD. LUSO – TERM. STO. AMARO,JD. LUSO – TERM. STO. AMARO,MANTIDA
546T-10,VL. GUACURI – TERM. STO. AMARO,PÇA. DO ACURI – TERM. STO. AMARO,CORTADA
546T-10,VL. GUACURI – TERM. STO. AMARO,VL. GUACURI – PÇA. DO ACURI,CORTADA
5611-10,ELDORADO – PÇA. JOÃO MENDES,PÇA. DO ACURI – PÇA. JOÃO MENDES,CORTADA
5611-10,ELDORADO – PÇA. JOÃO MENDES,ELDORADO – PÇA. DO ACURI,CORTADA
5614-10,ELDORADO – PÇA. JOÃO MENDES,ELDORADO – SHOP. INTERLAGOS,CORTADA
5630-10,TERM. GRAJAÚ – METRÔ BRÁS,TERM. GRAJAÚ – METRÔ BRÁS,MANTIDA
5630-21,CID. DUTRA – LGO. SÃO FRANCISCO,1,EXTINTA
5632-10,VL. SÃO JOSÉ – LGO. SÃO FRANCISCO,VL. SÃO JOSÉ – TERM. STO. AMARO,CORTADA
5632-21,JD. IPORANGA – LGO. SÃO FRANCISCO,1,EXTINTA
5632-51,JD. ALPINO – LGO. SÃO FRANCISCO,JD. ALPINO – TERM. STO. AMARO,CORTADA
5652-10,JD. IV CENTENÁRIO – PÇA. DA SÉ,CPTM AUTÓDROMO – SHOP. INTERLAGOS,CORTADA
5652-21,JD. IV CENTENÁRIO – PÇA. DA SÉ,1,EXTINTA
5701-10,METRÔ CONCEIÇÃO – SHOP. MORUMBI,METRÔ CONCEIÇÃO – SHOP. MORUMBI,MANTIDA
5701-21,VL. STA. CATARINA – SHOP. MORUMBI,1,EXTINTA
5702-10,REFÚGIO STA. TEREZINHA – METRÔ JABAQUARA,REFÚGIO STA. TEREZINHA – METRÔ JABAQUARA,MANTIDA
5705-10,TERM. SACOMÃ – METRÔ VERGUEIRO,TERM. SACOMÃ – METRÔ VL. MARIANA,CORTADA
573A-10,METRÔ BRESSER – VL. ALPINA,VL. ALPINA – TERM. VL. PRUDENTE,CORTADA
573H-10,HOSP. SAPOPEMBA – METRÔ BRESSER,HOSP. SAPOPEMBA – METRÔ BRESSER,MANTIDA
573T-10,TERM. SAPOPEMBA – METRÔ CARRÃO,TERM. SAPOPEMBA – METRÔ CARRÃO,MANTIDA
573T-31,TERM. SAPOPEMBA – METRÔ CARRÃO,LAR NACIONAL – JD. NOVE DE JULHO,CORTADA
574A-10,AMERICANÓPOLIS – LGO. CAMBUCI,AMERICANÓPOLIS – METRÔ JABAQUARA,CORTADA
574C-10,SÃO MATEUS – DIV. DE SÃO CAETANO,DIVISA DE SÃO CAETANO – SÃO MATEUS,MANTIDA
574J-10,METRÔ CONCEIÇÃO – TERM. VL. CARRÃO,METRÔ CONCEIÇÃO – TERM. SACOMÃ,CORTADA
574J-10,METRÔ CONCEIÇÃO – TERM. VL. CARRÃO,TERM. SACOMÃ – TERM. VL. CARRÃO,CORTADA
574R-10,TERM. SAPOPEMBA – METRÔ BELÉM,TERM. SAPOPEMBA – METRÔ BELÉM,MANTIDA
574W-10,JD. WALKIRIA – METRÔ BELÉM,JD. WALKIRIA – TERM. SAPOPEMBA,CORTADA
5752-10,VL. MISSIONÁRIA – METRÔ CONCEIÇÃO,VL. MISSIONÁRIA – METRÔ CONCEIÇÃO,MANTIDA
5757-10,CID. JÚLIA – METRÔ CONCEIÇÃO,CID. JÚLIA – METRÔ CONCEIÇÃO,MANTIDA
5757-51,PEDREIRA – METRÔ CONCEIÇÃO,PEDREIRA – METRÔ CONCEIÇÃO,MANTIDA
5759-10,PQ. PRIMAVERA – METRÔ CONCEIÇÃO,PQ. PRIMAVERA – METRÔ CONCEIÇÃO,MANTIDA
5759-31,PQ. PRIMAVERA – METRÔ CONCEIÇÃO,PQ. PRIMAVERA – METRÔ CONCEIÇÃO,MANTIDA
575A-10,DIV. SÃO CAETANO – SHOP. METRÔ TATUAPÉ,DIV. SÃO CAETANO – SHOP. METRÔ TATUAPÉ,MANTIDA
575C-10,IPIRANGA – VL. MATIAS,VL. MATIAS – METRÔ TAMANDUATEI,CORTADA
576C-10,METRÔ JABAQUARA – TERM. STO. AMARO,METRÔ JABAQUARA – TERM. STO. AMARO,MANTIDA
576J-10,METRÔ JABAQUARA – STO. AMARO,,EXTINTA
576M-10,VL. CLARA – PINHEIROS,METRÔ JABAQUARA – PINHEIROS,CORTADA
577T-10,JD. MIRIAM – METRÔ ANA ROSA,JD. MIRIAM – METRÔ ANA ROSA,MANTIDA
5791-10,ELDORADO – METRÔ VERGUEIRO,ELDORADO – METRÔ JABAQUARA,CORTADA
6000 – 10,TERM. PARELHEIROS – TERM. STO. AMARO,TERM. PARELHEIROS – TERM. STO. AMARO,MANTIDA
6001-10,TERM. CAPELINHA – TERM. STO. AMARO,TERM. CAPELINHA – TERM. STO. AMARO,MANTIDA
6002-10,CID. DUTRA – HOSP. PEDREIRA,CID. DUTRA – HOSP. PEDREIRA,MANTIDA
6003-10,TERM. GRAJAÚ – TERM. VARGINHA,TERM. GRAJAÚ – TERM. VARGINHA,MANTIDA
6006-10,JD. HERCULANO – SHOP. INTERLAGOS,JD. HERCULANO – SHOP. INTERLAGOS,MANTIDA
6007-10,TERM. CAPELINHA – TERM. STO. AMARO,TERM. CAPELINHA – TERM. STO. AMARO,MANTIDA
6008-10,JD. PLANALTO – TERM. STO. AMARO,JD. PLANALTO – TERM. STO. AMARO,MANTIDA
6008-21,PQ. EUROPA – TERM. STO. AMARO,1,EXTINTA
6010-10,CHÁC. STA. MARIA – TERM. GUARAPIRANGA,CHÁC. STA. MARIA – TERM. GUARAPIRANGA,MANTIDA
6012-10,PQ. INDEPENDÊNCIA – STO. AMARO,PQ. INDEPENDÊNCIA – JD. ÂNGELA,MANTIDA
6012-31,PQ. INDEPENDÊNCIA – JD. ÂNGELA,PQ. INDEPENDÊNCIA – JD. ÂNGELA,MANTIDA
6013-10,JD. NAKAMURA – TERM. STO. AMARO,1,EXTINTA
6013-21,ETEC – JD. ÂNGELA,ETEC – JD. ÂNGELA,MANTIDA
6014-10,TERM. JD. JACIRA – TERM. STO. AMARO,1,EXTINTA
6015-10,VL. CALÚ – STO. AMARO,VL. CALÚ – JD. ÂNGELA,CORTADA
6016-10,JD. NORONHA – TERM. GRAJAÚ,JD. NORONHA – TERM. GRAJAÚ,MANTIDA
6016-41,JD. PORTO VELHO – TERM. GRAJAÚ,JD. PORTO VELHO – TERM. GRAJAÚ,MANTIDA
6017-10,JD. NAKAMURA – STO. AMARO,JD. NAKAMURA – JD. ÂNGELA,CORTADA
6019-10,TERM. GUARAPIRANGA – JD. ALFREDO,TERM. GUARAPIRANGA – JD. ALFREDO,MANTIDA
6020-10,CHÁC. BOSQUE DO SOL – PARELHEIROS,CHÁC. BOSQUE DO SOL – PARELHEIROS,MANTIDA
6020-51,ESTR. DO JUSA – PARELHEIROS,ESTR. DO JUSA – PARELHEIROS,MANTIDA
6021-10,TERM. VARGINHA – JD. NOVA ERA,1,EXTINTA
6022-10,PQ. CEREJEIRA – STO. AMARO,PQ. CEREJEIRA – JD. ÂNGELA,CORTADA
6026-10,JD. ICARAÍ – TERM. STO. AMARO,JD. ICARAÍ – TERM. STO. AMARO,MANTIDA
6026-31,JD. ICARAÍ – TERM. STO. AMARO,JD. ICARAÍ – TERM. STO. AMARO,MANTIDA
6027-10,JD. GRAUNA – TERM. STO. AMARO,JD. GRAUNA – TERM. STO. AMARO,MANTIDA
6028-10,RIVIERA – TERM. STO. AMARO,RIVIERA – TERM. STO. AMARO,MANTIDA
6030-10,UNISA-CAMPUS 1 – TERM. STO. AMARO,UNISA-CAMPUS 1 – TERM. STO. AMARO,MANTIDA
6031-10,JD. SÃO BERNARDO – TERM. GRAJAÚ,JD. SÃO BERNARDO – TERM. GRAJAÚ,MANTIDA
6034-10,PQ. RES. COCAIA – TERM. GRAJAÚ,PQ. RES. COCAIA – TERM. GRAJAÚ,MANTIDA
6035-10,VL. GILDA – STO. AMARO,,EXTINTA
6035-21,VL. GILDA – TERM. GUARAPIRANGA,VL. GILDA – EST. STO. AMARO/GUIDO CALOI,CORTADA
6036-10,JD. MACEDÔNIA – STO. AMARO,1,EXTINTA
6037-10,JD. MITSUTANI – STO. AMARO,1,EXTINTA
6038-10,JD. DAS ROSAS – STO. AMARO,1,EXTINTA
6039-10,VALO VELHO – STO. AMARO,1,EXTINTA
6039-21,TERM. CAPELINHA – COHAB JD. SÃO BENTO,TERM. CAPELINHA – COHAB JD. SÃO BENTO,MANTIDA
6041-10,JD. JANGADEIRO – STO. AMARO,JD. JANGADEIRO – TERM. CAPELINHA,CORTADA
6041-21,TERM. JOÃO DIAS – JD. MONTE AZUL,TERM. JOÃO DIAS – JD. MONTE AZUL,MANTIDA
6042-10,JD. TRÊS ESTRELAS – STO. AMARO,1,EXTINTA
6042-21,TERM. CAPELINHA – CEU CAPÃO REDONDO,TERM. CAPELINHA – CEU CAPÃO REDONDO,MANTIDA
6043-10,JD. CAPELINHA – TERM. STO. AMARO,JD. CAPELINHA – TERM. STO. AMARO,MANTIDA
6044-10,JD. D. JOSÉ – TERM. STO. AMARO,JD. D. JOSÉ – TERM. CAPELINHA,CORTADA
6045-10,VALO VELHO – STO. AMARO,VALO VELHO – TERM. CAPELINHA,CORTADA
6045-21,VALO VELHO – TERM. CAPELINHA,VALO VELHO – TERM. CAPELINHA,MANTIDA
6046-10,JD. SÃO BENTO NOVO – STO. AMARO,1,EXTINTA
6047-10,JD. LÍDIA – STO. AMARO,1,EXTINTA
6048-10,CAPÃO REDONDO – STO. AMARO,CAPÃO REDONDO – TERM. CAPELINHA,CORTADA
6049-10,VALO VELHO – STO. AMARO,VALO VELHO – TERM. CAPELINHA,CORTADA
6050-10,PQ. COCAIA – TERM. GRAJAÚ,PQ. COCAIA – TERM. GRAJAÚ,MANTIDA
6051-10,JD. ITAJAÍ – TERM. VARGINHA,JD. ITAJAÍ – TERM. VARGINHA,MANTIDA
6051-31,JD. ITAJAÍ – TERM. VARGINHA,JD. ITAJAÍ – TERM. VARGINHA,MANTIDA
6052-10,JD. SETE DE SETEMBRO – TERM. VARGINHA,JD. SETE DE SETEMBRO – TERM. VARGINHA,MANTIDA
6052-31,JD. ALMEIDA PRADO – TERM. VARGINHA,JD. ALMEIDA PRADO – TERM. VARGINHA,MANTIDA
6053-10,JD. ELLUS – TERM. GRAJAÚ,JD. ELLUS – TERM. GRAJAÚ,MANTIDA
6055-10,JD. SÃO BERNARDO – SHOP. INTERLAGOS,1,EXTINTA
6056-10,PQ. STA. CECÍLIA – TERM. GRAJAÚ,PQ. STA. CECÍLIA – TERM. GRAJAÚ,MANTIDA
6056-41,VL. NATAL – TERM. GRAJAÚ,VL. NATAL – TERM. GRAJAÚ,MANTIDA
6057-10,VL. NATAL – TERM. GRAJAÚ,VL. NATAL – TERM. GRAJAÚ,MANTIDA
6058-10,JD. NORONHA – TERM. VARGINHA,JD. NORONHA – TERM. VARGINHA,MANTIDA
6059-10,JD. UNIVERSAL – STO. AMARO,JD. UNIVERSAL – STO. AMARO,MANTIDA
